post_catalog_id,post_tif,pre_catalog_id,pre_tif,min_xy,max_xy,x_coord,y_coord,label
105001000B95E200,3020132.tif,105001000B95E200,3020132.tif,"(-95.09765625, 29.794921875)","(-95.009765625, 29.8828125)",-95.096374,29.84318,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.50155,29.760742,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.505407,29.75222,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.521941,29.748386,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.522568,29.748596,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.522836,29.749514,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.526785,29.746132,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.530035,29.747711,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.532069,29.74719,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.533699,29.747637,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.534193,29.74753,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.535502,29.747488,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.53621,29.747604,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.534279,29.748168,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.534735,29.748186,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.535083,29.748205,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.536108,29.748275,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.53628,29.748331,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.537234,29.747935,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.534069,29.748484,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.535909,29.746593,Flooded / Blocked Road
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.538291,29.747539,Flooded / Blocked Road
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.53459,29.748512,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.534729,29.748536,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.535271,29.748554,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.535781,29.748638,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.536913,29.748899,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.536205,29.748955,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.534247,29.748801,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.534944,29.749257,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.536323,29.750072,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.538221,29.75005,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.540855,29.751126,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.538854,29.749305,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.537079,29.75073,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.536086,29.750548,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.537379,29.749482,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.537197,29.749253,Flooded / Damaged Building
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.536161,29.749416,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.537631,29.749048,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.538543,29.748354,Flooded / Blocked Road
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.541526,29.747605,Flooded / Blocked Road
105001000B95E100,3020021.tif,105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)",-95.532133,29.749132,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.541692,29.754246,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.543478,29.755294,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.543934,29.75541,Flooded / Blocked Road
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.551257,29.75813,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.553628,29.758274,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.551176,29.759462,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.548011,29.759848,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.553301,29.760896,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.553333,29.760696,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.553322,29.760486,Flooded / Damaged Building
105001000B95E200,3002320.tif,105001000B95E200,3002320.tif,"(-95.2734375, 29.35546875)","(-95.185546875, 29.443359375)",-95.25873,29.427493,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.554905,29.761753,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.55461,29.762819,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.554921,29.763057,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.555591,29.762885,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.55454,29.764342,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.555479,29.765255,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.555237,29.765241,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.555264,29.76404,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.555843,29.765525,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.556632,29.764501,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.555822,29.763611,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.558354,29.764459,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.558139,29.764398,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.554958,29.763537,Flooded / Blocked Road
105001000B95E200,3002231.tif,105001000B95E200,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)",-95.279716,29.439794,Flooded / Damaged Building
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.560854,29.769353,Flooded / Blocked Road
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.556256,29.770335,Flooded / Blocked Road
105001000B95E100,3020020.tif,105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)",-95.563085,29.777799,Flooded / Blocked Road
105001000B95E200,3002332.tif,105001000B95E200,3002332.tif,"(-95.09765625, 29.443359375)","(-95.009765625, 29.53125)",-95.014443,29.467989,Flooded / Damaged Building
105001000B95E200,3002323.tif,105001000B95E200,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)",-95.158247,29.496399,Flooded / Damaged Building
105001000B95E200,3002323.tif,105001000B95E200,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)",-95.141807,29.505011,Flooded / Damaged Building
105001000B95E200,3002323.tif,105001000B95E200,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)",-95.150573,29.499838,Flooded / Damaged Building
105001000B95E200,3002332.tif,105001000B95E200,3002332.tif,"(-95.09765625, 29.443359375)","(-95.009765625, 29.53125)",-95.013922,29.467251,Flooded / Damaged Building
105001000B95E200,3002233.tif,105001000B95E200,3002233.tif,"(-95.361328125, 29.443359375)","(-95.2734375, 29.53125)",-95.334945,29.509298,Flooded / Damaged Building
105001000B95E200,3002233.tif,105001000B95E200,3002233.tif,"(-95.361328125, 29.443359375)","(-95.2734375, 29.53125)",-95.336142,29.510446,Flooded / Blocked Road
105001000B95E200,3002231.tif,105001000B95E200,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)",-95.315073,29.376486,Flooded / Damaged Building
105001000B95E200,3002231.tif,105001000B95E200,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)",-95.318742,29.373582,Flooded / Damaged Building
105001000B95E200,3020100.tif,105001000B95E200,3020100.tif,"(-95.2734375, 29.53125)","(-95.185546875, 29.619140625)",-95.199711,29.53842,Flooded / Damaged Building
105001000B95E200,3020011.tif,105001000B95E200,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)",-95.324401,29.595954,Flooded / Damaged Building
105001000B95E200,3020100.tif,105001000B95E200,3020100.tif,"(-95.2734375, 29.53125)","(-95.185546875, 29.619140625)",-95.199829,29.535064,Flooded / Damaged Building
105001000B95E200,3002322.tif,105001000B95E200,3002322.tif,"(-95.2734375, 29.443359375)","(-95.185546875, 29.53125)",-95.189851,29.528908,Flooded / Damaged Building
105001000B95E200,3020011.tif,105001000B95E200,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)",-95.326247,29.596136,Flooded / Damaged Building
105001000B95E200,3020011.tif,105001000B95E200,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)",-95.326858,29.596416,Flooded / Damaged Building
105001000B95E200,3020011.tif,105001000B95E200,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)",-95.336348,29.591752,Flooded / Blocked Road
105001000B95E200,3002322.tif,105001000B95E200,3002322.tif,"(-95.2734375, 29.443359375)","(-95.185546875, 29.53125)",-95.186016,29.526245,Flooded / Damaged Building
105001000B95E200,3002231.tif,105001000B95E200,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)",-95.32223,29.374411,Flooded / Blocked Road
105001000B95E200,3002323.tif,105001000B95E200,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)",-95.144119,29.505878,Flooded / Damaged Building
105001000B95E200,3002321.tif,105001000B95E200,3002321.tif,"(-95.185546875, 29.35546875)","(-95.09765625, 29.443359375)",-95.167632,29.437432,Flooded / Damaged Building
105001000B95E200,3002321.tif,105001000B95E200,3002321.tif,"(-95.185546875, 29.35546875)","(-95.09765625, 29.443359375)",-95.162836,29.432209,Flooded / Damaged Building
105001000B95E200,3002233.tif,105001000B95E200,3002233.tif,"(-95.361328125, 29.443359375)","(-95.2734375, 29.53125)",-95.282886,29.505473,Flooded / Blocked Road
105001000B95E200,3002323.tif,105001000B95E200,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)",-95.144018,29.444561,Flooded / Blocked Road
105001000B95E200,3002323.tif,105001000B95E200,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)",-95.118998,29.506254,Flooded / Damaged Building
105001000B95E200,3002323.tif,105001000B95E200,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)",-95.117442,29.506874,Flooded / Damaged Building
105001000B95E200,3002320.tif,105001000B95E200,3002320.tif,"(-95.2734375, 29.35546875)","(-95.185546875, 29.443359375)",-95.25954,29.427514,Flooded / Damaged Building
