catalog_id,tif,minxy,maxxy
103001006FCDF300,2111212.tif,"(-96.15234375, 28.564453125)","(-96.064453125, 28.65234375)"
103001006FCDF300,2131032.tif,"(-96.15234375, 29.794921875)","(-96.064453125, 29.8828125)"
103001006FCDF300,2113013.tif,"(-96.064453125, 28.916015625)","(-95.9765625, 29.00390625)"
103001006FCDF300,2111210.tif,"(-96.15234375, 28.4765625)","(-96.064453125, 28.564453125)"
103001006FCDF300,2111300.tif,"(-95.9765625, 28.4765625)","(-95.888671875, 28.564453125)"
103001006FCDF300,2111231.tif,"(-96.064453125, 28.65234375)","(-95.9765625, 28.740234375)"
103001006FCDF300,2111320.tif,"(-95.9765625, 28.65234375)","(-95.888671875, 28.740234375)"
103001006FCDF300,2113211.tif,"(-96.064453125, 29.1796875)","(-95.9765625, 29.267578125)"
103001006FCDF300,2113320.tif,"(-95.9765625, 29.35546875)","(-95.888671875, 29.443359375)"
103001006FCDF300,2111032.tif,"(-96.15234375, 28.388671875)","(-96.064453125, 28.4765625)"
103001006FCDF300,2113102.tif,"(-95.9765625, 28.916015625)","(-95.888671875, 29.00390625)"
103001006FCDF300,2131211.tif,"(-96.064453125, 29.8828125)","(-95.9765625, 29.970703125)"
103001006FCDF300,2131010.tif,"(-96.15234375, 29.53125)","(-96.064453125, 29.619140625)"
103001006FCDF300,2131030.tif,"(-96.15234375, 29.70703125)","(-96.064453125, 29.794921875)"
103001006FCDF300,2113033.tif,"(-96.064453125, 29.091796875)","(-95.9765625, 29.1796875)"
103001006FCDF300,2111211.tif,"(-96.064453125, 28.4765625)","(-95.9765625, 28.564453125)"
103001006FCDF300,2113231.tif,"(-96.064453125, 29.35546875)","(-95.9765625, 29.443359375)"
103001006FCDF300,2131120.tif,"(-95.9765625, 29.70703125)","(-95.888671875, 29.794921875)"
103001006FCDF300,2111322.tif,"(-95.9765625, 28.740234375)","(-95.888671875, 28.828125)"
103001006FCDF300,2113012.tif,"(-96.15234375, 28.916015625)","(-96.064453125, 29.00390625)"
103001006FCDF300,2113100.tif,"(-95.9765625, 28.828125)","(-95.888671875, 28.916015625)"
103001006FCDF300,2113300.tif,"(-95.9765625, 29.1796875)","(-95.888671875, 29.267578125)"
103001006FCDF300,2131031.tif,"(-96.064453125, 29.70703125)","(-95.9765625, 29.794921875)"
103001006FCDF300,2131122.tif,"(-95.9765625, 29.794921875)","(-95.888671875, 29.8828125)"
103001006FCDF300,2113032.tif,"(-96.15234375, 29.091796875)","(-96.064453125, 29.1796875)"
103001006FCDF300,2131102.tif,"(-95.9765625, 29.619140625)","(-95.888671875, 29.70703125)"
103001006FCDF300,2113011.tif,"(-96.064453125, 28.828125)","(-95.9765625, 28.916015625)"
103001006FCDF300,2113213.tif,"(-96.064453125, 29.267578125)","(-95.9765625, 29.35546875)"
103001006FCDF300,2131033.tif,"(-96.064453125, 29.794921875)","(-95.9765625, 29.8828125)"
103001006FCDF300,2113230.tif,"(-96.15234375, 29.35546875)","(-96.064453125, 29.443359375)"
103001006FCDF300,2111302.tif,"(-95.9765625, 28.564453125)","(-95.888671875, 28.65234375)"
103001006FCDF300,2113122.tif,"(-95.9765625, 29.091796875)","(-95.888671875, 29.1796875)"
103001006FCDF300,2113120.tif,"(-95.9765625, 29.00390625)","(-95.888671875, 29.091796875)"
103001006FCDF300,2113302.tif,"(-95.9765625, 29.267578125)","(-95.888671875, 29.35546875)"
103001006FCDF300,2131100.tif,"(-95.9765625, 29.53125)","(-95.888671875, 29.619140625)"
103001006FCDF300,2113232.tif,"(-96.15234375, 29.443359375)","(-96.064453125, 29.53125)"
103001006FCDF300,2131212.tif,"(-96.15234375, 29.970703125)","(-96.064453125, 30.05859375)"
103001006FCDF300,2131012.tif,"(-96.15234375, 29.619140625)","(-96.064453125, 29.70703125)"
103001006FCDF300,2113233.tif,"(-96.064453125, 29.443359375)","(-95.9765625, 29.53125)"
103001006FCDF300,2131011.tif,"(-96.064453125, 29.53125)","(-95.9765625, 29.619140625)"
103001006FCDF300,2131013.tif,"(-96.064453125, 29.619140625)","(-95.9765625, 29.70703125)"
103001006FCDF300,2113212.tif,"(-96.15234375, 29.267578125)","(-96.064453125, 29.35546875)"
103001006FCDF300,2113010.tif,"(-96.15234375, 28.828125)","(-96.064453125, 28.916015625)"
103001006FCDF300,2131213.tif,"(-96.064453125, 29.970703125)","(-95.9765625, 30.05859375)"
103001006FCDF300,2111232.tif,"(-96.15234375, 28.740234375)","(-96.064453125, 28.828125)"
103001006FCDF300,2111033.tif,"(-96.064453125, 28.388671875)","(-95.9765625, 28.4765625)"
103001006FCDF300,2131302.tif,"(-95.9765625, 29.970703125)","(-95.888671875, 30.05859375)"
103001006FCDF300,2113031.tif,"(-96.064453125, 29.00390625)","(-95.9765625, 29.091796875)"
103001006FCDF300,2131210.tif,"(-96.15234375, 29.8828125)","(-96.064453125, 29.970703125)"
103001006FCDF300,2111233.tif,"(-96.064453125, 28.740234375)","(-95.9765625, 28.828125)"
103001006FCDF300,2131300.tif,"(-95.9765625, 29.8828125)","(-95.888671875, 29.970703125)"
103001006FCDF300,2111230.tif,"(-96.15234375, 28.65234375)","(-96.064453125, 28.740234375)"
103001006FCDF300,2113210.tif,"(-96.15234375, 29.1796875)","(-96.064453125, 29.267578125)"
103001006FCDF300,2111213.tif,"(-96.064453125, 28.564453125)","(-95.9765625, 28.65234375)"
103001006FCDF300,2113322.tif,"(-95.9765625, 29.443359375)","(-95.888671875, 29.53125)"
103001006FCDF300,2111122.tif,"(-95.9765625, 28.388671875)","(-95.888671875, 28.4765625)"
103001006FCDF300,2113030.tif,"(-96.15234375, 29.00390625)","(-96.064453125, 29.091796875)"
105001000B95E100,2131111.tif,"(-95.712890625, 29.53125)","(-95.625, 29.619140625)"
105001000B95E100,3020230.tif,"(-95.44921875, 30.05859375)","(-95.361328125, 30.146484375)"
105001000B95E100,3002220.tif,"(-95.625, 29.35546875)","(-95.537109375, 29.443359375)"
105001000B95E100,3002221.tif,"(-95.537109375, 29.35546875)","(-95.44921875, 29.443359375)"
105001000B95E100,3020213.tif,"(-95.361328125, 29.970703125)","(-95.2734375, 30.05859375)"
105001000B95E100,3020223.tif,"(-95.537109375, 30.146484375)","(-95.44921875, 30.234375)"
105001000B95E100,2131133.tif,"(-95.712890625, 29.794921875)","(-95.625, 29.8828125)"
105001000B95E100,3020010.tif,"(-95.44921875, 29.53125)","(-95.361328125, 29.619140625)"
105001000B95E100,3020222.tif,"(-95.625, 30.146484375)","(-95.537109375, 30.234375)"
105001000B95E100,3002213.tif,"(-95.361328125, 29.267578125)","(-95.2734375, 29.35546875)"
105001000B95E100,3020023.tif,"(-95.537109375, 29.794921875)","(-95.44921875, 29.8828125)"
105001000B95E100,3002232.tif,"(-95.44921875, 29.443359375)","(-95.361328125, 29.53125)"
105001000B95E100,2131113.tif,"(-95.712890625, 29.619140625)","(-95.625, 29.70703125)"
105001000B95E100,3020030.tif,"(-95.44921875, 29.70703125)","(-95.361328125, 29.794921875)"
105001000B95E100,3020000.tif,"(-95.625, 29.53125)","(-95.537109375, 29.619140625)"
105001000B95E100,3020221.tif,"(-95.537109375, 30.05859375)","(-95.44921875, 30.146484375)"
105001000B95E100,3020012.tif,"(-95.44921875, 29.619140625)","(-95.361328125, 29.70703125)"
105001000B95E100,3020003.tif,"(-95.537109375, 29.619140625)","(-95.44921875, 29.70703125)"
105001000B95E100,3020031.tif,"(-95.361328125, 29.70703125)","(-95.2734375, 29.794921875)"
105001000B95E100,3020013.tif,"(-95.361328125, 29.619140625)","(-95.2734375, 29.70703125)"
105001000B95E100,3020203.tif,"(-95.537109375, 29.970703125)","(-95.44921875, 30.05859375)"
105001000B95E100,3020211.tif,"(-95.361328125, 29.8828125)","(-95.2734375, 29.970703125)"
105001000B95E100,3020200.tif,"(-95.625, 29.8828125)","(-95.537109375, 29.970703125)"
105001000B95E100,3020202.tif,"(-95.625, 29.970703125)","(-95.537109375, 30.05859375)"
105001000B95E100,3020032.tif,"(-95.44921875, 29.794921875)","(-95.361328125, 29.8828125)"
105001000B95E100,2131333.tif,"(-95.712890625, 30.146484375)","(-95.625, 30.234375)"
105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)"
105001000B95E100,3002222.tif,"(-95.625, 29.443359375)","(-95.537109375, 29.53125)"
105001000B95E100,3002203.tif,"(-95.537109375, 29.267578125)","(-95.44921875, 29.35546875)"
105001000B95E100,3020231.tif,"(-95.361328125, 30.05859375)","(-95.2734375, 30.146484375)"
105001000B95E100,2131311.tif,"(-95.712890625, 29.8828125)","(-95.625, 29.970703125)"
105001000B95E100,3020210.tif,"(-95.44921875, 29.8828125)","(-95.361328125, 29.970703125)"
105001000B95E100,3002212.tif,"(-95.44921875, 29.267578125)","(-95.361328125, 29.35546875)"
105001000B95E100,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)"
105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)"
105001000B95E100,3002223.tif,"(-95.537109375, 29.443359375)","(-95.44921875, 29.53125)"
105001000B95E100,2131131.tif,"(-95.712890625, 29.70703125)","(-95.625, 29.794921875)"
105001000B95E100,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)"
105001000B95E100,3020232.tif,"(-95.44921875, 30.146484375)","(-95.361328125, 30.234375)"
105001000B95E100,2113313.tif,"(-95.712890625, 29.267578125)","(-95.625, 29.35546875)"
105001000B95E100,3002230.tif,"(-95.44921875, 29.35546875)","(-95.361328125, 29.443359375)"
105001000B95E100,3020033.tif,"(-95.361328125, 29.794921875)","(-95.2734375, 29.8828125)"
105001000B95E100,2131313.tif,"(-95.712890625, 29.970703125)","(-95.625, 30.05859375)"
105001000B95E100,3020002.tif,"(-95.625, 29.619140625)","(-95.537109375, 29.70703125)"
105001000B95E100,3020212.tif,"(-95.44921875, 29.970703125)","(-95.361328125, 30.05859375)"
105001000B95E100,3002202.tif,"(-95.625, 29.267578125)","(-95.537109375, 29.35546875)"
105001000B95E100,2113333.tif,"(-95.712890625, 29.443359375)","(-95.625, 29.53125)"
105001000B95E100,3020220.tif,"(-95.625, 30.05859375)","(-95.537109375, 30.146484375)"
105001000B95E100,3020201.tif,"(-95.537109375, 29.8828125)","(-95.44921875, 29.970703125)"
105001000B95E100,3020001.tif,"(-95.537109375, 29.53125)","(-95.44921875, 29.619140625)"
105001000B95E100,3020233.tif,"(-95.361328125, 30.146484375)","(-95.2734375, 30.234375)"
105001000B95E100,3002233.tif,"(-95.361328125, 29.443359375)","(-95.2734375, 29.53125)"
